ポケモン,https://gamewith.akamaized.net/img/824f6f53c6c390b3cfbd2cc3b831e39f.jpg,,攻撃,防御,HP,合計
フシギダネ,http://pokemongo-news.com/pokemon_images/s/fushigidane.png,,118,118,90,326
フシギソウ,http://pokemongo-news.com/pokemon_images/s/fushigisou.png,,151,151,120,422
フシギバナ,http://pokemongo-news.com/pokemon_images/s/fushigibana.png,,198,198,160,556
ヒトカゲ,http://pokemongo-news.com/pokemon_images/s/hitokage.png,,116,96,78,290
リザード,http://pokemongo-news.com/pokemon_images/s/rizaado.png,,158,129,116,403
リザードン,http://pokemongo-news.com/pokemon_images/s/rizaadon.png,,223,176,156,555
ゼニガメ,http://pokemongo-news.com/pokemon_images/s/zenigame.png,,94,122,88,304
カメール,http://pokemongo-news.com/pokemon_images/s/kameeru.png,,126,155,118,399
カメックス,http://pokemongo-news.com/pokemon_images/s/kamekkusu.png,,171,210,158,539
キャタピー,http://pokemongo-news.com/pokemon_images/s/kyatapii.png,,55,62,90,207
トランセル,http://pokemongo-news.com/pokemon_images/s/toranseru.png,,45,64,100,209
バタフリー,http://pokemongo-news.com/pokemon_images/s/batafurii.png,,167,151,120,438
ビードル,http://pokemongo-news.com/pokemon_images/s/biidoru.png,,63,55,80,198
コクーン,http://pokemongo-news.com/pokemon_images/s/kokuun.png,,46,86,90,222
スピアー,http://pokemongo-news.com/pokemon_images/s/supiaa.png,,169,150,130,449
ポッポ,http://pokemongo-news.com/pokemon_images/s/poppo.png,,85,76,80,241
ピジョン,http://pokemongo-news.com/pokemon_images/s/pijon.png,,117,108,126,351
ピジョット,http://pokemongo-news.com/pokemon_images/s/pijotto.png,,166,157,166,489
コラッタ,http://pokemongo-news.com/pokemon_images/s/koratta.png,,103,70,60,233
ラッタ,http://pokemongo-news.com/pokemon_images/s/ratta.png,,161,144,110,415
オニスズメ,http://pokemongo-news.com/pokemon_images/s/onisuzume.png,,112,61,80,253
オニドリル,http://pokemongo-news.com/pokemon_images/s/onidoriru.png,,182,135,130,447
アーボ,http://pokemongo-news.com/pokemon_images/s/aabo.png,,110,102,70,282
アーボック,http://pokemongo-news.com/pokemon_images/s/aabokku.png,,167,158,120,445
ピカチュウ,http://pokemongo-news.com/pokemon_images/s/pikachuu.png,,112,101,70,283
ライチュウ,http://pokemongo-news.com/pokemon_images/s/raichuu.png,,192,165,120,477
サンド,http://pokemongo-news.com/pokemon_images/s/sando.png,,126,145,100,371
サンドパン,http://pokemongo-news.com/pokemon_images/s/sandopan.png,,182,202,150,534
ニドラン♀,http://pokemongo-news.com/pokemon_images/s/nidoran-mesu.png,,86,94,110,290
ニドリーナ,http://pokemongo-news.com/pokemon_images/s/nidoriina.png,,117,126,140,383
ニドクイン,http://pokemongo-news.com/pokemon_images/s/nidokuin.png,,180,174,180,534
ニドラン♂,http://pokemongo-news.com/pokemon_images/s/nidoran-osu.png,,105,76,92,273
ニドリーノ,http://pokemongo-news.com/pokemon_images/s/nidoriino.png,,137,112,122,371
ニドキング,http://pokemongo-news.com/pokemon_images/s/nidokingu.png,,204,157,162,523
ピッピ,http://pokemongo-news.com/pokemon_images/s/pippi.png,,107,116,140,363
